StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Screening,Age,Role,Domain,Dashboard,Frequent_1,Experience_1,Goals,Uses,Explore,Role,Unsupported,Situation,Rely,Feature,Hypothesis,Insight,Externalized,Comfort_1,Initiative,Control,Concerns,Annotate,Theme,Suggest,Explore,PROLIFIC_PID
2025-05-31 16:08:29,2025-05-31 16:45:35,IP Address,196.24.72.12,100,2226,True,2025-05-31 16:45:35,R_2dnySoK3dcseCxq,,,,,-33.9506,25.6228,anonymous,EN,0.5,I consent,"Yes, regularly",21,Manger,IT,"Locker, IBM, Power BI and Domo",5,5,Interpreting existing dashboards to have more data. Monitoring sales and for strategic business.,"What are the sales of this month?, How meeting our targets?, Which errors are there on systems.","About 65% of my dashboards are for exploratory and 35% for explanatory ","It clarity data for me to make things easier,  give feedback on my goals and improve performance ","Combine data from many sources ","Yes, I sometimes get stuck when it doesn’t analyze the data clear and use many filters.","Filters, charts and tooltips",Note talking features.,"Yes. I hypothesized about the changes on the sales given by the dashboard. What caused it or maybe it is an error on the system ","Yes, it is important as annotations help with understanding thoughts and validate helps with false information.","Yes, I take notes to keep tracks and write done my thoughts during my findings.",5,"Repetitive task, like gathering information that is already on the dashboard.","It will depend on the type of tasks, some tasks needs less control because they are easy.",Ai making unwarranted assumptions.,I will take lots of time and I might have loads of work to do.,Effective analysis and organized retrieval of information.,"It will act has a guide and help uncover deep insights ","Advance filtering and data visualization customization ",67adb27bd5f5776fcb16da62
2025-05-31 16:02:57,2025-05-31 16:46:09,IP Address,94.254.232.9,100,2591,True,2025-05-31 16:46:10,R_2rUioBbrJHdZvCm,,,,,52.2299,21.0093,anonymous,EN,1,I consent,"Yes, regularly",21,middle management,retail,tableau,4,4,"monitoring sales performance, inventory menagement","what are our sales results, which products or categories sell the best/worst",exploratory more frequent 60-70%,"focus on goals, real time decision making",tasks that require causal inference,yes whan I no clear analytics funnel,"drill-down, charts, filters and dropdowns",I think not,"Yes, e.g a decrease in online sales due to stock shortages",yes because this maintaining organizational knowledge and protects against hasty conclusions,It is easier to notice the gaps and supports teamwork,4,I would like AI to prepare initial reports and propose further hypotheses. I would like to direct it myself when the data has an unusual context and in the case of business crises,Yes because this is how trust in the AI system would build,No specific context and errors simplifications in the data,I would have a better organization and  I would capture hypotheses faster,Maintaining focus on a specific area and effective co-work,Greater quality of decision and saving of time,Personancy of viewing and visual functions,66b0d065329001a04e5ae671
2025-05-31 15:47:57,2025-05-31 16:50:08,IP Address,196.39.19.111,100,3730,True,2025-05-31 16:50:08,R_2CI3U5Etddm6Rej,,,,,-26.2309,28.0583,anonymous,EN,1,I consent,"Yes, regularly",40,Chief Medical Officer,Health,Clinical Dashboards,4,4,Support decision-making to improve patient outcomes,Patient Vital and Lab test results,Often explanatory,"Dashboards provide visibility and focus. They keep important data for teams to make informed decisions and act quickly. ","They can't predict what will happen or prescribe what to do next. ","When it comes to cancer diagnosis or treatment plans, the dashboard shows a lot of data which until today I can't explain. ",filters and dropdowns,tabs or sections,"Yes, The infections rate in the pediatric ward is rising, due to reduced staff-to-patient ratios.",Yes because some of the information won't be clear enough for juniors to understand,"Definitely, since we deal with a lot of data per day, remembering all the details is nor easy so externalizing my thoughts helps a lot. ",4,When I am overwhelmed by to much data,"Yes most definitely, clear explanations would help.","If I am not 100% sure about my analysis, AI's assumptions could be a cause for concern ","Positively, my workflow will improve especially in data analysis and decision making","This could save us time especially if we encounter the same problems like outbreaks, we can tag views and they can quickly direct us to the right analysis.",suggestion and comparisons could help those inexperienced juniors to explore dashboards confidently,"smart suggestions like guiding the user according to what they are viewing and recommend filters ",67caa7fe00179edfb74d3e1a
2025-05-31 16:00:34,2025-05-31 16:51:52,IP Address,41.13.10.113,100,3078,True,2025-05-31 16:51:53,R_2dMeiybrAu96tJn,,,,,-26.2309,28.0583,anonymous,EN,1,I consent,"Yes, regularly",26,software developer,Information technology,power BI,4,4,"The primary goal for using Power BI at work is to monitor and inform decision-making. We use the dashboards to monitor claims volumes done per week continuously, customer service performance in different departments, and to provide data-driven insights that support operational and strategic decisions. It also helps with visualizing datasets in a way that is easy for both technical people and non-technical people that we work with.","Questions like how many claims we field this week/month?
Which agents are meeting sales KPIs?
How many payouts were done per month?","In my current role, there's a mix of both, but I'd say it's around 60% explanatory and 40% exploratory","From my perspective as a developer, the role of a dashboard is to help me deliver reliable, user-friendl,y and impactful data solutions","I find complex logic management and a lack of native version control in Power BI to be difficult. Also, working with large datasets while keeping the dashboard fast and interactive often requires extra optimization.","Yes, I've felt stuck while exploring a dashboard, especially during early stages of development or when working with unfamiliar datasets. one example was when I notices unexpected trends in claim rejection rates but I couldn't immediately tell whether it was a data issue, a reporting logix error, or an actual business shift.  It turned out that the issue was a combination of a small data lag and a misunderstanding of the business rule.","I mainly rely on filtered charts and drill-through features. They help make the most dashboard interactive, clear, and effective for end users while also letting me build flexible and responsive views.","I'd like a better version control and collaboration tool in Power BI. Also, having reusable logic components and more developer-friendly debugging features would make the workflow much smoother.","Yes, I often form hypotheses while exploring dashboards. For example, I noticed a rise in claim processing times in one region and hypothesized it was due to staffing issues. using filters, I drilled down to confirm the trend, which helped the operations team address he problem.","Yes, it's very important to both annotate and validate insight. An annotation helps provide context so others understand the meaning and limitations of the data. Validation ensures that the insights are accurate and based on reliable data, which is critical before making any decisions. Without these steps, there is a risk of misinterpretation or acting on incorrect information, which may cause some business loss.","I often take notes, which help me track my observations, questions, and hypotheses while exploring the data. Screenshots are useful for capturing specific views or issues to share with teammates or to document progress. This practice helps me stay organized and ensure important insights aren't lost.",5,"I'd want AI to take initiative for repetitive or data-heavy tasks like auto-generating basic dashboards or suggesting initial visualizations based on raw data. However, I would want to guide it myself when it comes to customizing the dashboard for a specific business context or designing reports that require a deep understanding of stakeholder needs.","I’d want a good balance between automation and control. It’s helpful when AI can take initiative and make suggestions, but I want to retain the ability to review, adjust, or override those actions to ensure they align with business goals and data nuances. AI suggestions are very important, they build trust and help me understand why the AI made certain choices.",make incorrect or oversimplified assumptions that don't fully capture the complexity of insurance data or business rules.,"It would let me capture insights, questions, or data issues right where I see them, without switching tools or losing context.","It would make it easier to focus on specific topics, like claims processing or customer behavior, track related metrics together, and quickly share relevant views with stakeholders.","It would be very helpful. Suggestions for next steps or relevant comparisons could guide my analysis, help uncover hidden insights, and speed up decision-making.","Dynamic hyphotheses testing, data lineage and imapct analyss",64d23e803ee1da9a01e52faa
2025-05-31 15:44:39,2025-05-31 16:52:35,IP Address,154.65.123.95,100,4075,True,2025-05-31 16:52:35,R_27gmS5xsmwItBn4,,,,,-23.8287,30.1672,anonymous,EN,1,I consent,"Yes, occasionally",31,Operations Manager,Manufacturing,Power Bi,4,3,"I use dashboards to look at how things are running in the factory. From tracking production, checking if there are any issues, and making sure we meet target.","Are we meeting production targets, did any line slow down or stop? where there any downtimes? and what is our scrap rate?","Usually, it's exploratory. I use dashboards to check for new developments or unusual patterns, for example, a sudden drop in output. Sometimes I also use them to explain certain things during meetings, like why we missed a target or how improved performance.","As a person who use a laptop a lot at work, a dashboard is a like a control panel that gives me a quick view of what is working or not working. It helps me to manage operations well, make better decisions on time, and guide my team to remain focused on the right things and be more productive.","Sometimes it is hard to deal with specific problems without switching pages or using several filters. And if the data is not updated quickly enough, the dashboard can lose its use for immediate decisions.","Yes. There has been a time when I am looking for a reason behind a sudden drop in output, but the dashboard does not show enough context. Then I will try using different filters or charts and still I can't find the root of the problem. It can be very frustrating when I can see the data, but in a confusing way.","I rely a lot on filters and dropdowns to keep an eye on specific production lines and shifts, or timeframes. Bar graphs and line charts can also be very helpful when I'm tracking performance over a period of time.","Yes. I would like a feature that allows me to add quick notes or tags directly on the dashboard, to explain a dip or spik, so that the team stay informed about what happened without having to guess.","Yes. For example; If I realize that one shift keeps having lower output than others, I may think maybe the is a machine issue that is slower during that shift. Then I check other data, like downtime logs.","Yes. If I see a trend, like rising scrap rates, I will confirm if it is a real issue or if it is just a one-time thing. Validating helps me to avoid jumping to wrong conclusions. Annotating can be also helpful in that it lets me remember why a decision was made when I look back later.","Yes. I often take screenshots and take notes, especially when I see something that is not usual or when I am preparing for a team meeting. ",4,"I would want AI to take initiative when the is a lot of data to go through, Like showing issues or building basic dashboards. But when it comes to setting goals or looking into specific problems, I would prefer to guide since I know the context.","I prefer to have more control. The AI can help me, but I want to decide what to focus on and how to use what it suggests. And yes, I would want explanations for its suggestions.",I worry that Ai may miss some important details or misunderstand and end at wrong conclusions. The Al has to be very accurate at analyzing the context.,It would make things easier. I can quickly note why a number changed or what to check later. It would save time during meetings.,"That would be really helpful. I could organize views by issues, like downtime, output or quality. It would make it less difficult to find patterns.","Very helpful, as long as I can still choose what to follow up on.","I would like to see better note-taking, and smart alerts.",6157ea2bc310cfa8c29478f6
2025-05-31 15:49:53,2025-05-31 16:52:48,IP Address,41.144.66.61,100,3774,True,2025-05-31 16:52:48,R_2K94W8NTmJIx3ih,,,,,-29.8553,31.0428,anonymous,EN,0.8999999761581421,I consent,"Yes, regularly",22,Data Analyst,Information Technology,"Tableau, Microsoft Power Bi, Looker and Google Data Studio",5,4,"I primarily use dashboards for monitoring, where I track key performance indicators (KPIs) and metrics in real time or over a defined period to identify trends and detect anomalies. Additionally, I leverage dashboards for exploration, uncovering patterns, correlations, and outliers that may not be immediately apparent. Lastly, dashboards play a key role in decision-making, as they enable me to support data-driven decisions by providing stakeholders with clear, actionable insights derived from the data.","Here are some typical questions I try to answer using dashboards:
How are we performing against our goals (sales, engagement, efficiency)?
Are there any unexpected changes or anomalies in the data?
Which products, services, or regions are performing best or worst?
What are the trends over time, and what might they indicate?
Where should we focus our resources or attention next?","I can say that the balance between exploratory and explanatory tasks depends on the specific context, but generally, around 60% of my dashboard use involves exploratory analysis, such as early-stage investigations, responding to ad hoc queries, or identifying emerging trends. The remaining 40% is typically focused on explanatory tasks, like preparing reports, creating presentations, or communicating insights to non-technical stakeholders. In many cases, dashboards serve both purposes simultaneously, especially when they are interactive and allow me to drill down for deeper insights beyond the initial view.
","I believe that dashboards are essential tools in my analytical workflow, as they centralize data from various sources, allowing for seamless access and comparison. They present information in a clear, visual format that enhances understanding and accelerates insight generation. By enabling self-service access, dashboards empower stakeholders to explore data independently, minimizing the need for recurring manual reports. Additionally, they promote transparency and accountability by making performance metrics consistently visible and trackable over time. Ultimately, dashboards serve as a vital link between raw data and informed decision-making.","One of the more challenging tasks I encounter is performing complex, multi-dimensional analysis within dashboards, especially when dealing with large datasets that require dynamic calculations or custom logic. My current tools have limitations in terms of advanced interactivity or integrating statistical or machine learning models directly into the dashboard interface. Also, storytelling capabilities, such as annotating trends or highlighting key insights contextually are often underdeveloped, which makes it harder to communicate findings effectively to stakeholders.","Yes, I’ve occasionally felt stuck when using dashboards with poor layout design. For example, I once worked with a dashboard that aggregated data across multiple business units, but it lacked sufficient documentation and consistent naming conventions. This made it difficult for me to interpret certain metrics accurately and understand how filters were affecting the visualizations. Without a clear data dictionary or guidance, it was easy to misinterpret the data, which slowed down my analysis process and created uncertainty around the insights I generated.","I heavily rely on filters and dropdowns to segment data by time periods, geographic regions, or business units, as they provide the flexibility to explore specific subsets of data quickly. Interactive charts are also crucial, especially those that allows me to drill down my work. These features help me uncover trends, compare metrics across dimensions, and draw deeper insights without leaving the dashboard environment.","One feature I would find extremely valuable is an integrated commenting or annotation system that allows us as analysts to document observations directly within the dashboard. This would streamline collaboration and make it easier for teams to share context or explanations without relying on external documentation. I also believe, the ability to incorporate lightweight predictive analytics or scenario modeling within dashboards without needing to export the data would significantly enhance their value in strategic decision-making.","Yes, I frequently form hypotheses while exploring dashboards. For example, if I notice a sudden drop in user engagement in a specific region, I might hypothesize that it’s due to a recent change in the product experience or a marketing campaign that didn’t resonate with that audience. I’ll then investigate further by filtering the data by date, demographics, and channel to validate or refine my assumptions. Dashboards often serve as the starting point for such exploratory thinking, guiding me toward deeper analysis.","Yes I do believe that it’s essential to annotate and validate insights. Annotating allows me to capture the context behind a trend or anomaly, making it easier to share and revisit later. Validation is equally important to ensure that insights are accurate and actionable. Without validation, there's a risk of drawing incorrect conclusions that can lead to misguided decisions. Clear documentation of assumptions and verification steps builds trust in the analysis and supports accountability when presenting findings to stakeholders.","Yes, I often externalize my thinking by taking notes and capturing screenshots during analysis. This helps me document my thought process, track the steps I’ve taken, and highlight areas that need further investigation. I usually maintain a running document or use collaborative tools like Notion or Confluence to organize these notes. This practice not only supports clearer communication with my teammates but also serves as a valuable reference if I need to revisit the analysis later or explain my rationale to others.",4,"I’d want AI to take initiative in repetitive or time-consuming tasks, such as generating initial versions of dashboards, automating data prep, or highlighting anomalies and trends. These use cases can significantly boost efficiency. However, when it comes to defining business-specific metrics, framing the analysis, or applying domain knowledge, I would prefer to guide the process myself. As I believe that human context and strategic understanding are crucial in those stages.","I would want a high degree of control over the AI’s actions, especially when working on complex or sensitive data. Transparency is key, I would absolutely want explanations for the AI’s suggestions, including the logic or data patterns it used to generate them. This builds trust and helps me assess whether the recommendations are valid within the business context.","My primary concern is that AI might make incorrect or overly simplistic assumptions about the data or the business context, leading to misleading conclusions. For example, it might misinterpret correlations as causation or overlook key variables that aren't explicitly included in the dataset. There’s also the risk of bias being reinforced if the AI is trained on incomplete or skewed data. That’s why it’s important for analysts to stay in the loop validating AI outputs and providing the critical thinking layer that machines can't replicate.","I believe being able to annotate charts directly would significantly enhance my workflow. It would allow me to capture immediate observations, hypotheses, or questions right at the point of analysis, without having to switch tools or maintain separate documentation. This contextual note taking would not only help me keep track of insights and areas for further exploration but would also improve collaboration by making it easier for others to understand my thought process when reviewing the dashboard","Grouping and tagging dashboard views by themes such as customer behavior, sales performance, or regional trends would bring more structure and clarity to the analysis process. It would allow me to organize insights based on analytical goals or business questions, making it easier to revisit specific lines of inquiry and maintain a clear narrative. This would also be particularly useful when presenting to stakeholders, as it helps communicate findings in a more cohesive and focused manner.","It would be very helpful, provided the suggestions are relevant and explainable. Smart prompts such as highlighting a potential outlier, suggesting a related metric to compare, or flagging a noteworthy trend could guide deeper exploration and uncover insights I might have otherwise missed. This kind of assistance would be especially valuable during time sensitive analyses or when exploring unfamiliar datasets, helping to surface patterns more quickly and efficiently.","I would appreciate features that enable real time annotations, version tracking of dashboard states, and smart linking between related views or metrics. Also, a built-in collaboration layer such as shared notes, discussion threads, or comment tagging would greatly enhance teamwork. AI powered contextual recommendations, lightweight scenario modeling, and integration with knowledge bases or documentation would further support deeper exploration and more meaningful insight generation. Ultimately, tools that blend analysis, collaboration, and storytelling in one environment would provide the most value for me.",67cd50f22f22938860f85a66
2025-05-31 15:46:31,2025-05-31 16:55:29,IP Address,41.150.226.159,100,4137,True,2025-05-31 16:55:29,R_2q956a3J019v3jl,,,,,-26.2309,28.0583,anonymous,EN,0.800000011920929,I consent,"Yes, regularly",39,Senior Manager,Banking,Microsoft Power BI and Tableua,1,4,"To monitor performance, make informed decisions and drive progress towards objective.","To answer a range of important business and operational questions, typically focused on performance, trends and decision making.","The balance depends on the context, but in most real-world usage.","To make data visible, understandable and actionable.",for non-technical users or in a complex data environments.,"No, I have never felt stuck.",I rely on charts and dropdowns.,A feature about monthly reports.,"Yes, I sometimes form hypotheses while using dashboards. When something unexpected appears in the data.","It is very important to annotate and validate insights from dashboards, because t improves clarity for others.","Yes, by taking notes so that i can always refer back.",4,Generate dashboards and i would like to guide it.,Ai can assist because i trust it.,Accurate information.,It would safe time and make my workflow easy.,It would make reports simple to analyze.,It would actually safe time for me.,For now i am not sure if i would to add features,6774f9e03114a09130a1e78f
2025-05-31 15:50:34,2025-05-31 16:57:55,IP Address,168.210.167.15,100,4041,True,2025-05-31 16:57:56,R_2w6va0BWSDVozf5,,,,,-26.2309,28.0583,anonymous,EN,0.8999999761581421,I consent,"Yes, regularly",24,Healthcare professional,Healthcare,Power BI,4,5,"I use dashboards to monitor patient safety measures, their outcomes and the clinical performance too because they help in terms of providing real time data and trends in support of any clinical decision making that needs to be made.","When using dashboards, I usually try to answer realistic questions and more practical questions relating to patient care and the clinical workflow. Like knowing how many beds or certain equipments(resources) do we have or knowing how to spot patterns like readmissions more than usual in patients and finding out as to what exactly could be the issue plus also making sure that I stay informed to enforce better decision making.",Most of the time I use dashboards to study and properly go through the data to get what the findings of it are. This is where I look for specific trends in patients whether usual or unusual because that will lead into helping me on knowing and figuring out the specific cause of certain issues or where specific improvements are needed. In explanatory form this is where I create a report with proper detailing and also with use and help of the dashboard I'll be using in order to present my findings clearly to the team.,The role of a dashboard is to help with always being on top of the clinical performance and patient care. This will help in providing clear data which will help in coming up with feasible solutions and then track the progress at all times.,I feel like a lot of dashboards show the information on a surface level and they just present the data as is without giving the background of the data which sometimes makes it difficult to actually get to the root of the problem and knowing where it actually started and what actually caused everything. At times I find that some dashboards are not easily readable or user-friendly.,"Yes I have, it was a time whereby there was a spike in patients that would come back after being discharged but unfortunately the dashboard was not set up in a way that it was easy to go through and study. Having to filter down the specific information I needed was a hassle and the information was honestly all over the place and it ended up being quite frustrating for me because I had to get to the bottom of everything within a specific period of time that I was given.",Most of the time I rely on filters and dropdowns simply because I get the allowance of being able to swiftly nail down the data given in specific patients that I am looking for at that particular time.,"Yes there is. I think that having a feature that would automatically update the information on it's own without me having to manually input and update the data. This will help in saving time and be able to move on to other dashboards without having to worry that there is new information that I have to input and update, of which I feel like that will somewhat end up causing a backlog since now there will be lots and lots of work to do.",Yes I do form hypotheses. There was a time whereby there was a sudden increase in infections and I had thought that maybe it is because something had somewhat changed in terms of how the team was using their procedures or rather a change of resources used.that ended up causing such a huge spike in these infections from patients.,"Yes, I do think that it is important to annotate the insights I get because without that I feel like it will be easy for anyone to create their own assumptions based off of what they would be currently looking at which will lead to having the data being misunderstood. Having written insights helps with making sure that everyone is on the same page and to make sure that all decisions are taken based off on correct information.","Yes because this helps me to remember my findings and any question I might have and to also be able to share with everyone and having such backup with me helps because I know that even if anything was to happen to the data I would be working on, then it will be easier for me to revert back to my notes and redo or re-share what I had before.",4,I would like it if AI would help me in terms of going through the data that is too much or too messy to go through because I know. that AI would swiftly do that but for detailed answers or specific questions then I would prefer to guide it myself because I feel like It is important to have that control to make sure the insights really fit the situation.,I would actually want to have proper control over what the AI is doing so that it doesn’t go off track or miss any important details.,"I would be concerned that AI might make assumptions without fully understanding the context or the importance of patient care, which could end up leading to wrong conclusions. If it misses important factors or relies too much on patterns that don’t apply then that could lead to wrongful decisions being made.","Being able to annotate charts directly would make my workflow way smoother. I could quickly write down thoughts or questions right where the data is, so that I don’t forget anything or have to switch between tools. ",Grouping dashboard views and tagging them with themes would really help me stay organized and focused and easily understand what I am working with.,I feel like It would be of great help because it could save me time and easily show me any important information things I might have missed. Suggestions for next steps or comparisons would help a lot without me having to start everything all over from the top.,Being able to leave notes or mark things while I’m working would help me keep track of ideas. This would help me so much.,66c5f2fbc0174307c50f7b81
2025-05-31 15:45:38,2025-05-31 17:04:28,IP Address,94.131.31.148,100,4730,True,2025-05-31 17:04:29,R_2cSzoVWlHQsBHhm,,,,,51.5081,-0.1278,anonymous,EN,1,I consent,"Yes, regularly",33,"Supervisor ","Manufacturing ",Power BI,4,4,Decision making,"it typically good in answering on performance  monitoring on sales, marketing, operation and production.",The Power BI dashboards are more easy of exploratory analysis and for the quick monitoring other then the manual tools.,"The power BI dashboards it helping to achieve a goal, sales target, customer need and customer satisfaction, it also enable us to quick identification of trends whether performance is improving or not, it also shows analysis from customer the demand and customer satisfactory.    ","Everything was perfect and understandable.  ",No,Filters data and Charts.,"By enhanced more on alerting with actionable options, it will be very easy to get notification from customer about the sales and services.","Reduces friction users don't need to leave the dashboard, go to another app, or manually initiate an action. It closes the loop from insight to action immediately.","it very important to annotate, why?  By ensuring accuracy and reliability, by also building trust and credibility.","The reason taking Screenshots or Screen Recordings, Taking screenshots of charts, dashboards, error messages, web pages, or any visual information that sparks a thought or needs further investigation.",5,"By generating a Daily, weekly, monthly performance dashboards that follow a consistent structure and set of KPIs.",I would want a high degree of control over the AI's actions," AI models, especially complex ones like deep learning, operate on algorithms that learn patterns from data.","Analyst spots something, mentally notes it, maybe jots it down in a separate notepad or a text file to remember it to discuss later.","Instead of a long, I could group them logically.  For instance, all sales related dashboards could be in one Sales group, financial dashboards in a Finance group, Marketer dashboards will be on marketer group and so on.","By reduced analysis Paralysis Often, after seeing a dashboard a user might not immediately know where to dig deeper. Suggestions would provide a clear path forward.","System to Suggest the  Next Steps, Direct Annotation of Charts.",676d40e2915d059bf7ef62e8
2025-05-31 16:28:40,2025-05-31 17:04:34,IP Address,105.0.2.93,100,2154,True,2025-05-31 17:04:34,R_2hm9qqt0bExrpXK,,,,,-26.1917,28.0523,anonymous,EN,0.800000011920929,I consent,"Yes, regularly",22,Student,"Education ",Power BI,5,5,"I.iseit mostly for decision making ",What are the main drive of revenues,"I communicate my findings most often ",It enables decision making and tracking process,Integration of more than one source,"Not necessarily ",Filters in most cases,"No I'm okay with every feature at the moment ",I can't think of any because I haven't formed any,"Yes it is, the insight is educational and helpful, I've always relied on the knowledgeable information for a long time ","Yes I take notes and screenshots incase I'll need the information again ",3,AI is dominating a lot of platforms these days I think it would be fair if it doesn't generate dashboards for now,Yes I'd obviously need reasons for the suggestions as the answers might nor be 100% correct,"I'd be skeptical about those assumptions because they ain't tangible and reliable ","It would be a good thing because I'll be able to generate ideas and opportunities and work effectively ","Facilitate sharing and collaboration ",It would be a good thing because I'll know how things will go about,"Come up with storytelling ideas ",67dc0e51bb00a648baafaa14
2025-05-31 16:24:46,2025-05-31 17:23:43,IP Address,105.8.7.86,100,3536,True,2025-05-31 17:23:44,R_264Qv5JJSYKAGBw,,,,,-26.1917,28.0523,anonymous,EN,1,I consent,"Yes, occasionally",39,teacher,education,"canva ,klipfolio and google data studio",4,4,"save time ,identity trends and communicate insights ","how my student are perfoming ,engagement who is actively participating and whos not and comparison how do different classes or group compare in outcome",quite often .i use dashboards not just to monitor known metrics but to explore patterns identify unexpected trends and uncover insights that guide my teaching or interventions.,A dashboad help me see how my student are doing at a glance . it shows important information clearly so i can understand their progress and quickly decide how to  help them learn better,Customazing views for specific needs and understanding complex data are hardest parts with current dashboads,"yes sometimes when dashboars show too much data without clear guidance , i get overwhelmed and unsure where to focus which makes it hard to find useful insights quickly",clear visual charts and summary indicators,"i wish dshboard could send automatic alerts for students who needs help ","yes for example , if i see a students participation drop on the dashboard i might hypothesize they are struggling with the material or facing personal issue",yes its important to validate insights because data can be misleading . checking and annotating helps make sure desicions are based on accurate and meaningful information,yes i take notes and screenshot to remember insights and stay organised,4,"i want AI to handle routine task , but i guide it to custom or important desision",i want good control over AIs actions and clear explanation for its suggestion to trust and make informed desision,my concern is that AI might  make wrong assumptions leading to inaccurate insight and poor decision if i dont review its work carefully,annotating charts would help me capture thoughts quickly and improve collaboration,"i would help me organize data and find insights faster ",that would be very helpful to guide my analysis and save time finding relevant insights,smarter suggestion and easy customization would improve exploration,6800c1807a6267402d617aa9
2025-05-31 15:59:45,2025-05-31 17:47:52,IP Address,105.245.124.53,100,6486,True,2025-05-31 17:47:53,R_8fSSnw7jh67aTaF,,,,,-25.757,28.1443,anonymous,EN,1,I consent,"Yes, occasionally",55,"Human Resources manager ","Retail ",Tableau,4,4,"As a Human Resources manager my primary goal in using the dashboard is to track and improve employee performance. I monitor key metrics using the dashboard yo check on employee performance ratings, their turnover, training participation and also employee satisfaction. Through the findings from analyzing this data, l would be able to identify areas of improvement and make informed decisions that would help drive business success.","I usually answer questions like:
- What's the current employee turnover rate?
-How are employee metrics varying across departments,  different stores and locations?
- Are there any issues that need attention?
- To what extent do employees seem engaged in their work?
- Which training programs are most needed to improve employee performance?
","Exploratory analysis are used regularly thus weekly and sometimes monthly to monitor metrics and identify areas of improvement.l, whilst explanatory are used quarterly to present the findings for the quarter year to the stakeholders. ","As an HR Manager, a dashboard helps me track important metrics like:
-Employee happiness/satisfaction 
-training participation of employees 
-employee turnover
-diversity and inclusion of all employees 
-employee performance ratings
All these helps me make informed decisions to support my team and improve the business","At one point ,l was struggling to make sense of our HR data, but Tableau's dashboard has been really helpful. It's easy to use, and the visualizations are clear and insightful. Now, I can track important metrics and make better decisions for our team with ease.","There was this day l was trying to figure out employee turnover across departments, but it felt complex because I wasn't sure which metrics to focus on. I was still new in using the dashboard,  hence was a bit confused. After filtering the data and adjusting the visualizations, I identified key trends and insights. Now, I make sure to define my goals and metrics clearly before using the dashboard.","The dashboard offers a lot of features that I really need to make informed decisions in my work as an HR professional. I usually rely on filters and charts in the dashboard. These features help me identify trends and insights, define goals, and track key metrics like employee turnover and engagement. By using these tools, I can make decisions to support my team's success.","I personally think that the features on Tableau are actually very good and user-friendly. Even a novice can easily navigate and use them. The current features support my workflow well, and I appreciate the insights they provide to me so far.","Yes, I occasionally find myself getting lost on the dashboard sometimes. But, for example, when I'm trying to analyze some complex data sets of employee matrix, I usually struggle to find the right metrics or filters. However, once I step back and refocus on my goals, and use the dashboard features more effectively, I find my way back to what I really need.","Yes it's very important.  As an HR manager, it's good to note down insights from data visualization because it helps you:
-remember important findings
- Track changes over time
- Make informed decisions
Noting down insights helps me stay organized and focused","Yes, taking notes is a big part of how I externalize my thinking. It helps me get my thoughts out of my head and onto paper, where I can review and reflect on them more easily. It' is a great way to help me clarify my ideas and make sure I don't forget important details.",5,"I would like AI to assist me with repetitive tasks and generating standard dashboards or reports. This would save me time and allow me to focus on more strategic and complex tasks that require human judgment and expertise. I would also appreciate Al guidance when I need ideas or solutions, and then I can use those suggestions to form my own perspective and make informed decisions."," I would appreciate it if l have to work together/collaborate rather than control over AI's actions.  I prefer Al to explain its suggestions so I can understand why it made them. I then on my own can use its ideas and add my own thoughts to create something even better. I don't need to control everything, but I want us to work together with the Al to get the best results.","The biggest issues or  what lm much concerned abouut is that, AI might make incorrect assumptions, which could ruin the whole analysis. I also worry that AI can provide biased data, leading to wrong conclusions. So, I wouldn't want to rely too heavily on AI without double-checking its work.","If l could directly annotate charts my thoughts or with questions , this would could streamline collaboration and save time. However, if my thoughts are unclear or incorrect, it might cause misunderstandings and hurt productivity.","I think it would be a great intiative. It would make analysis even much easier. It would help me find information quickly, compare data, and stay organized. This would save time and make my work more efficient.","I personally think that it's a great step if the system suggests next steps. It'll save me time and provide relevant suggestions. The system might spot patterns I wouldn't have noticed before, giving me valuable insights. It'll also help me stay focused and explore relevant areas.",I think it should provide guided tutorials and guides for new users. It should also offer automated insights generation and advanced predictive analytics capabilities.,67caae6f152a736ade05dacf
